source_center,destination_center,median_delay,trip_count,median_actual_time,median_osrm_time,median_distance
IND148102AAA,IND151001AAA,2.3076923076923075,3,99.0,55.0,45.25712846337173
IND151001AAA,IND148101AAA,1.0805626598465472,24,44.0,45.0,44.38078269901041
IND151001AAA,IND151103AAA,1.5,9,32.0,22.0,23.73703288337685
IND151001AAA,IND151302AAA,0.717948717948718,27,28.0,41.0,23.792777342001383
IND151001AAA,IND160002AAC,1.4,161,146.0,95.0,110.01201888599762
IND151103AAA,IND151001AAA,15.672364672364672,2,416.0,26.5,26.50767222943864
IND151302AAA,IND151505AAA,0.7533613445378151,32,31.0,38.0,26.3404219592556
IND151505AAA,IND151506AAA,1.7692307692307692,5,46.0,27.0,16.609504212294866
IND151506AAA,IND151001AAA,1.0142857142857142,48,66.5,56.0,44.514023315871036
IND152024AAA,IND152123AAA,1.4444444444444444,4,35.0,25.5,26.19041545725367
IND152026AAA,IND000000ACA,1.9166666666666667,133,449.0,78.0,88.55580548818159
IND152026AAA,IND151001AAA,1.0,32,47.5,49.0,44.452623865290334
IND152026AAA,IND152024AAA,2.2,4,34.5,18.5,25.879731683399548
IND152026AAA,IND152101AAA,0.9210526315789473,2,36.0,36.0,26.188969356827485
IND152026AAA,IND152107AAA,2.0588235294117645,2,40.0,19.0,25.727491994307716
IND152026AAA,IND152116AAA,1.7173913043478262,6,57.0,39.5,44.68770689708987
IND152026AAA,IND160002AAC,2.095833333333333,10,322.5,94.5,121.6808374338604
IND152101AAA,IND152026AAA,1.0694444444444444,4,69.5,34.5,26.72423396392289
IND152107AAA,IND152026AAA,1.6636029411764706,2,89.0,27.5,25.363839739729585
IND152116AAA,IND152026AAA,1.2563025210084033,2,65.0,37.5,33.22908902467348
IND152116AAA,IND152107AAA,1.2666666666666666,1,19.0,15.0,22.113336435381093
IND152123AAA,IND152026AAA,1.6666666666666667,3,124.0,52.0,44.164875131381656
IND160002AAC,IND000000ACA,1.8666666666666667,118,83.0,46.0,66.10305897749544
IND160002AAC,IND000000ACB,1.76,716,276.0,131.0,133.0116515852895
IND160002AAC,IND110037AAM,1.836021505376344,90,209.5,119.5,121.80911973698659
IND160002AAC,IND131028AAB,1.7333333333333334,96,134.5,81.5,100.04528095008806
IND160002AAC,IND134203AAA,1.4285714285714286,5,58.0,37.0,27.100577920543216
IND160002AAC,IND135001AAA,1.7391304347826086,3,83.0,43.0,45.06507995905441
IND160002AAC,IND140301AAA,1.3888888888888888,42,60.0,37.5,30.289694584840056
IND160002AAC,IND140603AAA,1.2,85,25.0,18.0,18.51775923245241
IND160002AAC,IND140901AAA,1.1538461538461535,105,55.0,31.0,27.688136363389862
IND160002AAC,IND142001AAB,1.7058823529411764,126,128.5,70.0,88.68407343408603
